id,timestamp,machine_id,component,sensor_name,sensor_value,sensor_unit
1,2025-01-12 15:07:14,1,urn:crawlercrane-ontology#Swing_System,swingspeed,0.7255944417257613,rpm
2,2025-01-12 15:08:14,1,urn:crawlercrane-ontology#Luffing_Jib,luffingjiblength,21.636292554415622,m
3,2025-01-12 15:09:14,1,urn:crawlercrane-ontology#Hydraulic_System,hydraulicpressure,205.07369264538053,bar
4,2025-01-12 15:10:14,1,urn:crawlercrane-ontology#Load_Hoist_Drums,wireropediameter,19.092855081801876,mm
5,2025-01-12 15:11:14,1,urn:crawlercrane-ontology#Luffing_Boom,luffingboomlength,16.12588575204922,m
6,2025-01-12 15:12:14,1,urn:crawlercrane-ontology#Rated_Capacity_Limiter_System,misc_sensor,0.7065892272708995,N/A
7,2025-01-12 15:13:14,1,urn:crawlercrane-ontology#Counterweight,counterweight,6.6535313244765995,470 kg
8,2025-01-12 15:14:14,1,urn:crawlercrane-ontology#Fuel_Tank,fueltanklevel,223.8931618783332,L
9,2025-01-12 15:15:14,1,urn:crawlercrane-ontology#Operator_Cab,heateroutput,2.430995686402868,kW
10,2025-01-12 15:16:14,1,urn:crawlercrane-ontology#Counterweight,counterweight,50.11358828078718,470 kg
11,2025-01-12 15:17:14,1,urn:crawlercrane-ontology#Boom_Hoist_Drum,boomangle,63.58079109373534,°
12,2025-01-12 15:18:14,1,urn:crawlercrane-ontology#Luffing_Boom,luffingboomlength,25.896537223755676,m
13,2025-01-12 15:19:14,1,urn:crawlercrane-ontology#Load_Hoist_Drums,wireropediameter,1.6122524677075585,mm
14,2025-01-12 15:20:14,1,urn:crawlercrane-ontology#Carbody,carbodyclearance,2.3154556857278674,m
15,2025-01-12 15:21:14,1,urn:crawlercrane-ontology#Engine,enginerpmatfullloadspeed,438.0440568654502,rpm
16,2025-01-12 15:22:14,1,urn:crawlercrane-ontology#Load_Hoist_Drums,wireropediameter,0.772457353864912,mm
17,2025-01-12 15:23:14,1,urn:crawlercrane-ontology#Boom_Hoist_Drum,boomangle,46.99586889590336,°
18,2025-01-12 15:24:14,1,urn:crawlercrane-ontology#Counterweight,counterweight,49.970768462676176,470 kg
19,2025-01-12 15:25:14,1,urn:crawlercrane-ontology#Luffing_Jib,luffingjiblength,8.34226961622875,m
20,2025-01-12 15:26:14,1,urn:crawlercrane-ontology#Load_Hoist_Drums,wireropediameter,18.85885985426471,mm
21,2025-01-12 15:27:14,1,urn:crawlercrane-ontology#Conventional_Tube_Boom,boomlength,53.42158523546366,m
22,2025-01-12 15:28:14,1,urn:crawlercrane-ontology#Luffing_Boom,luffingboomlength,32.72292240965132,m
23,2025-01-12 15:29:14,1,urn:crawlercrane-ontology#Swing_System,swingspeed,0.14284863760794303,rpm
24,2025-01-12 15:30:14,1,urn:crawlercrane-ontology#Boom_Hoist_Drum,boomangle,26.22245409400666,°
25,2025-01-12 15:31:14,1,urn:crawlercrane-ontology#Hydraulic_Pumps,flowrate,184.13404968231467,L/min
26,2025-01-12 15:32:14,1,urn:crawlercrane-ontology#Carbody,carbodyclearance,1.0449621048573037,m
27,2025-01-12 15:33:14,1,urn:crawlercrane-ontology#Operator_Cab,heateroutput,3.382284206515873,kW
28,2025-01-12 15:34:14,1,urn:crawlercrane-ontology#Engine,enginerpmatfullloadspeed,215.07213867877928,rpm
29,2025-01-12 15:35:14,1,urn:crawlercrane-ontology#Counterweight,counterweight,49.67659478467165,470 kg
